73.094 347.138
118.881 300.596

123.099 296.729
159.182 259.286

161.665 257.155
195.999 222.146

198.949 219.507
231.321 186.278

234.832 182.647
266.994 148.473

270.648 144.379
306.27 108.738

309.237 105.537
348.918 61.2294

352.811 59.2382
402.976 4.39596

408.5 0.557005
475.925 -71.3908

482.787 -80.7908
590.211 -192.307

603.456 -206.315
831.768 -429.252

858.927 -458.2
-39.4319 411.867

1170.49 -876.018
1006.24 -1034.63

989 -1047.34
860.214 -1219.97

527.842 -786.252
201.023 -453.164

186.56 -441.176
78.2475 -336.009

71.1741 -330.421
12.2367 -273.476

6.41892 -267.423
-35.5399 -225.972

-35.4949 -223.702
-437.361 52.4928

-68.1458 -245.726
-137.615 -323.713

-146.679 -332.865
-327.269 -532.759

-1503.81 -1683.04
-1750.72 -1428

-1532.31 -1008.22
-527.924 -29.5433

-1115.75 -557.436
-1261.59 -400.054

-696.828 -178.189
-417.863 70.3911

-413.459 73.8344
-356.45 126.555

-352.619 130.522
-306.148 173.21

-301.744 175.859
-260.17 214.59

-258.775 216.661
-218.092 252.966

-215.223 256.065
-175.399 291.556

-173.071 293.816
-131.566 331.604

-126.452 336.26
-28.6503 421.277

-11.3019 431.602
53.5363 367.117

