       2   0.245631    77.7969       1032    218.142    1008.68  36
       3  0.0211485    76.9531    1035.75    233.819    1009.01  30
       4 -0.00297663    76.0781     1039.5    250.102    1008.96  39
       5  -0.218768    75.2812       1040    264.237    1005.87  32
       6 -0.0313633    74.4688     1043.5    279.412     1005.4  27
       7  -0.108471    73.5938    1046.25    295.509    1003.65  25
       8   0.118894    72.7812    1052.75    311.636    1005.57  30
       9 -0.0691141    71.8906    1056.75    328.472     1004.4  29
      10  -0.118453    71.1094    1059.75    343.107    1002.67  26
      11 -0.0621465    70.2031     1064.5    360.532    1001.59  35
      12   0.109976    69.4219    1071.75    376.703    1003.37  30
      13  -0.234485    68.5469       1074    392.805     999.59  28
      14 -0.0855357    67.7188    1078.75    409.012    998.204  28
      15    0.14006    66.9375     1087.5    426.012    1000.58  30
      16  -0.012418    66.0625     1094.5    444.082    1000.36  34
      17  -0.305882      65.25     1096.5     459.06    995.779  31
      18   0.131131    64.4375     1106.5     477.45     998.19  30
      19  -0.115606    63.5938    1112.25    494.654    996.201  25
      20  0.0556626    62.9688    1119.25    508.673    996.982  32
      21 -0.0516672    62.1562     1126.5    526.145    996.079  28
      22  -0.158696      61.25    1132.75     544.84    993.112  28
      23  0.0449743    60.5156    1141.75    561.954    993.882  28
      24  0.0990445    59.6094    1154.75     584.18    996.083  31
      25  -0.391584    58.8594    1157.25    598.461    990.491  23
      26    1.79031    57.0625     603.25    328.001    506.286  18
      27    74.0356    56.2969     590.75    327.801    491.459  23
      28   -13.0106    55.3594     578.75    328.977    476.157  21
      29    152.444    54.4219     565.25     328.87    459.731  21
      30    7.85281      53.75     553.25    327.142    446.165  20
      31   -5.91956    52.7656     544.25    329.313    433.314  18
      32    16.2226    51.8438      531.5    328.365    417.934  18
      33   -61.9503    50.9688     521.75    328.569    405.297  20
      34    18.9067    50.1719        512    327.929      393.2  19
      35     23.596    49.4062     503.25     327.46    382.139  19
      36   -45.1284    48.4375        494    327.738    369.627  22
      37   -19.7213    47.5938     486.75    328.256    359.407  20
      38    29.8068    46.7188     478.25    327.879    348.165  22
      39   -32.1182    45.8906      471.5    328.178    338.543  23
      40   -17.0783    44.9062     464.25    328.811    327.737  20
      41    7.01167    44.2188        457    327.524    318.712  20
      42   -11.7188    43.3594      451.5    328.268    309.987  21
      43   -21.6173    42.5312        446    328.661    301.493  24
      44   -7.36448    41.3906        440    330.096    290.923  22
      45    5.80647      40.75        434    328.783    283.298  24
