167.546 805.51
177.908 804.565
189.92 803.613
202.099 802.184
212.864 799.653
226.031 798.111
237.678 797.59
261.276 793.07
272.256 790.69
283.343 789.176
296.204 787.646
308.318 784.595
320.834 781.182
332.912 780.735
344.537 778.409
356.37 776.366
369.374 773.866
383.383 773.167
394.173 769.969
403.288 770.6
417.242 769.966
428.851 765.28
443.963 765.586
456.077 762.804
469.944 760.812
482.826 758.34
496.756 755.879
509.268 753.247
525.063 754.235
538.705 751.33
554.653 750.855
567.714 747.003
582.864 743.52
598.08 742.284
614.14 738.832
627.862 736.758
645.016 733.481
660.426 731.47
677.422 730.83
695.654 729.472
712.231 725.959
