dropping 91.9573 329.146
dropping 110.415 309.122
dropping 116.164 304.601
dropping 118.881 300.596
dropping 128.721 289.963
dropping 151.538 266.993
dropping 168.529 250.001
dropping 184.581 234.271
dropping 187.913 229.995
dropping 195.999 222.146
dropping 211.452 206.776
dropping 234.832 182.647
dropping 236.714 180.614
dropping 246.056 171.192
dropping 255.001 159.923
dropping 264.572 150.737
dropping 279.113 136.038
dropping 286.133 127.488
dropping 311.443 101.288
dropping 330.606 82.5249
dropping 341.297 69.244
dropping 348.918 61.2294
dropping 352.811 59.2382
dropping 361.343 47.8725
dropping 379.21 31.3017
dropping 388.472 20.2528
dropping 393.67 16.1125
dropping 397.641 9.32752
dropping 437.656 -30.9647
dropping 443.551 -35.8821
dropping 448.603 -43.9385
dropping 469.458 -65.4601
dropping 475.925 -71.3908
dropping 482.787 -80.7908
dropping 492.412 -88.2085
dropping 525.942 -124.599
dropping 534.642 -135.315
dropping 545.381 -144.697
dropping 578.22 -178.856
dropping 686.819 -286.683
dropping 705.534 -306.541
dropping 772.204 -371.686
dropping 803.413 -399.482
dropping 894.563 -491.099
dropping 967.374 -565.922
dropping 1003.38 -606.616
dropping 1062.38 -661.042
dropping 1141.59 -906.535
dropping 989 -1047.34
dropping 973.863 -1062.79
dropping 956.275 -1074.96
dropping 899.383 -1132.59
dropping 393.749 -648.878
dropping 356.165 -609.576
dropping 324.758 -579.162
dropping 234.219 -489.334
dropping 160.057 -416.29
dropping 139.949 -395.202
dropping 92.2589 -350.822
dropping 86.4854 -343.273
dropping 64.4494 -322.626
dropping 52.1594 -311.159
dropping 36.5383 -296.255
dropping -12.8711 -246.915
dropping -20.1328 -239.154
dropping -29.1222 -229.913
dropping -35.4949 -223.702
dropping -50.4591 -226.446
dropping -52.4445 -230.612
dropping -68.1458 -245.726
dropping -76.2593 -259.007
dropping -84.459 -264.597
dropping -87.7859 -272.457
dropping -96.0912 -277.589
dropping -99.3906 -284.117
dropping -120.602 -306.904
dropping -137.615 -323.713
dropping -272.151 -468.43
dropping -393.999 -605.616
dropping -1481.46 -1707.05
dropping -1611.95 -1562.58
dropping -1706.15 -1473.33
dropping -1730.67 -1453.8
dropping -1791.09 -1377.44
dropping -1266.77 -754.128
dropping -1152.18 -639.481
dropping -1115.75 -557.436
dropping -1131.57 -543.906
dropping -1136.92 -527.887
dropping -1162.32 -500.502
dropping -1219.48 -444.602
dropping -1245.44 -412.567
dropping -1261.59 -400.054
dropping -666.117 -150.922
dropping -633.395 -123.12
dropping -618.556 -109.937
dropping -557.974 -55.7228
dropping -537.448 -37.4312
dropping -477.49 15.7649
dropping -425.047 63.4024
dropping -417.863 70.3911
dropping -390.086 93.99
dropping -371.754 114.544
dropping -339.366 142.963
dropping -334.837 145.918
dropping -301.744 175.859
dropping -294.433 184.097
dropping -283.781 193.104
dropping -258.775 216.661
dropping -245.995 227.77
dropping -242.883 230.359
dropping -239.145 234.237
dropping -221.528 249.294
dropping -205.533 264.856
dropping -191.107 277.574
dropping -175.399 291.556
dropping -161.982 304.043
dropping -155.054 310.99
dropping -150.461 314.346
dropping -147.678 317.594
dropping -139.709 324.448
dropping -112.733 346.629
dropping -88.0061 369.669
dropping -54.0267 398.605
dropping -49.6192 403.208
dropping -44.0261 407.126
dropping -39.4319 411.867
dropping -32.3026 416.248
dropping 2.73906 418.491
